9.0003e-06 0
0.100222 0
0.200495 0
0.307116 0
0.407413 0
0.507678 4.05378e-05
0.609608 0.281726
0.709837 1.10775
0.810079 2.46986
0.910312 4.35387
1.01056 6.73658
1.11082 9.59401
1.21159 12.8938
1.31189 16.6223
1.41214 20.7224
1.51238 25.0648
1.61287 29.7309
1.71313 34.62
1.81336 39.6776
1.91359 44.8473
2.01385 50.074
2.11414 55.3036
2.21444 60.4886
2.31474 65.6711
2.41502 70.4062
2.51525 75.063
2.61551 79.4487
2.71764 83.5126
2.81802 87.2131
2.91839 90.4959
3.01865 93.3623
3.11909 95.7111
3.2195 97.5785
3.3198 98.9479
3.42005 99.7337
3.52032 100
3.62386 100
3.72415 100
3.82444 100
3.92471 100
