9.0003e-06 0.13342
0.100342 0.800833
0.200658 1.46825
0.301616 2.13554
0.402619 2.80287
0.50362 3.47018
0.603882 4.1375
0.704862 4.80484
0.805854 5.47226
0.906945 6.13963
1.00787 6.80689
1.10907 6.80689
1.21007 6.80689
1.31109 6.80689
1.41207 6.80689
1.51295 6.80689
1.61393 6.80689
1.71503 6.80689
1.81607 6.80689
1.91703 6.80689
2.01802 30
2.11903 29.4941
2.2206 28.9883
2.32163 28.3815
2.42266 27.8758
2.52365 27.37
2.62465 26.8643
2.72563 26.3585
2.82666 25.8528
2.92767 25.3471
3.02806 24.8413
3.12906 24.3353
3.22999 23.8293
3.33096 23.3234
3.43193 22.8177
3.53293 22.3121
3.63394 21.8065
3.73505 21.3003
3.83609 20.794
3.93703 20.2878
