9.0003e-06 0.0835534
0.100828 0.763613
0.201164 1.42722
0.301558 2.09371
0.401948 2.76139
0.502311 3.42628
0.602541 4.09388
0.702895 4.76079
0.803218 5.42705
0.90357 6.09388
1.004 6.76013
1.10453 7.42726
1.20509 8.09261
1.30562 8.76033
1.40598 9.42728
1.50629 10.0945
1.60661 10.7605
1.70701 11.4279
1.80759 12.0939
1.90815 12.76
2.00862 30
2.10907 14.0942
2.21039 14.7606
2.31091 15.4279
2.41143 16.094
2.51179 16.7609
2.61248 17.4272
2.71297 18.0932
2.81343 18.7603
2.91386 19.427
3.01412 20
3.11464 20
3.21526 20
3.31598 20
3.41662 20
3.51718 20
3.61764 20
3.71826 20
3.81902 20
3.91935 20
